"sentiment","content"
"happiness","'Cause you have that effect on me, you do ? ?Currently loving Hey Monday. Thanks a lot, @alexrellosa."
"happiness","- It's time for Kathleen to go to bed... waaaaay past time. Don't expect to hear from me before noon. lol  Have a BLESSED morning."
"happiness","#bgt Aw bless her, my stomach sank when she first whimpered but good on her for trying to carry on. That's nice of Simon to take charge."
"happiness","#FF @AriesChild she is my Vegas buddy &amp; A Laker lover uuugh but I love her even though I'm all the way n Chicago"
"happiness","#Happy Stars Wars day....Me's a JA-JA BINKS ha  A crappy day outside though ah well makes me have a bit more motivation to revise"
"happiness","&quot;Bad words are a crutch, they lead to tattoos and peircings!&quot;  Hahahaha!"
"happiness","&quot;dream of a better world because it's coming&quot; -someone could live off of those words dude"
"happiness","&quot;I love knowledge. I love thinkin. Fressshman. Fressshman.&quot; pellericious math song"
"happiness","&quot;I will stumble.. I will fall down... But I will not be moved  &quot;"
"happiness","&quot;It's not rape if you scream surprise first.&quot; - my customer just said to me. Haha.  (via @OMGitsJessieLee)LMAO"
"happiness","&quot;leave the pieces&quot; - the wreckers... hmm"
"happiness","&quot;NAPPY'S&quot; da new &quot;N&quot; word....by da way, iLove my &quot;NAPPY&quot; braids  iGot &quot;HANG-TIME&quot; homie lol"
"happiness","&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; finding nemo"
"happiness","(@JMBuckett) Oh snap... kinda nuts right now... @basedmagazine:  I've told at least 27  Thanks babes."
"happiness","(L) ice grande half-sweet French vanilla soy milk from Starbucks means summaa's coming !!!"
"happiness","*[ It's time for TSCC!  ]"
"happiness","*PEN JAM CLEARED* CLICK!"
"happiness","*yaaaawwwwnnnn* thx to bank holiday... let's see what today has prepared for us..."
"happiness",",.. oh the Mint Lounge ...AWESOME night"
"happiness","... I want to die. I want to TAKE my own life, forever. She's trying to get me to do a duet."
"happiness","....ok, sOooooooooo I DID that!! i've got u in the palm of my hand"
"happiness","...love and wanted to share with my followers. feeling inspirational. ive had a long day."
"happiness","..exams.  haha just remembrd the china buffet king yesterday. vair amusing ...."
"happiness","..my mother just WON the City of Terrell, Texas District 2 'City Council' Seat  ..i'm M.i.A lol HAPPY MOTHERS DAY"
"happiness","// happy Star Wars Day everyone, May the 4th be with you"
"happiness",":visiting my friendster and facebook"
"happiness","? Polly Scattergood's new single out today! Download the Please Don't Touch EP on iTunes, it's ace!  http://tr.im/kpK8"
"happiness","????? ?? ??? ????????, ????? ?? ??? ???????, ??? ??? ?? ?????? ??? ??, ???? ??? ?? ???????... The magic of Rafi singing for Shammi Kapoor"
"happiness","@ a_mccallie WOW... I am replaced already??? I thought I am coming back with my steaks"
"happiness","@ BeardBurk: Their being optimistic"
"happiness","@ borgellaj  you know what? They're YOUR CATS"
"happiness","@ Butlers watching Dr. Farmer rock out w/ the hispanic Jimmy Hendrix ... drinking Cosmos"
"happiness","@ inthebattle its really cute. One of my favorites."
"happiness","@_chloe yes! it's on youtube  its from may 7th, and it made me feel 100x better. it's halarious."
"happiness","@_elj OK nice one, cheers boss.  Am liking the lack of FCS today."
"happiness","@_Enigma__ OMG daon't tell me you have watched twilight enuff to know that !!"
"happiness","@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though"
"happiness","@_josh_thomas are you coming to sydney?! cool, where can i meet you? id love to meet you, you're my favourite comedian"
"happiness","@_Stephhh_ Awww  I heard he is the sweetest guy with fans."
"happiness","@_writersblock_ Yep! One drink &amp; @retrorewind block party is keeping me up"
"happiness","@1sweetwhirl remember the guy who 1st #tweetbud you! ~&gt; @yashved_2890  help him get 900 flwrs &amp; make him smile!"
"happiness","@30SECONDSTOMARS It s NO voting vs anything - simple but true: yr *Stronger* cover is the BEST - w/o me *looking through pink glasses*!"
"happiness","@3Magpies Thanks! and to you as well!"
"happiness","@3squares i will!!! thanks"
"happiness","@4_idiots hahaha! I don't work in a strip club you know  alrighty mister, have YOU done any public may dancing today?"
"happiness","@4everBrandy looks like your having fun"
"happiness","@4everBrandy nice capture"
"happiness","@a_double as if there are any other kind  http://myloc.me/Fkl"
"happiness","@aaronstewart try 5 5-drawer horizontal cabinets full of non-digital fun. The SEC &amp; FINRA make my job so joyful. Can't hire temps either"
"happiness","@abbyhangsi thanks gail  imma try this one day! looks yummy! geezzz. after my siargao trip nlng pla. heheh."
"happiness","@abiFACE thanks for havin us overrr!"
"happiness","@AboutLittleRock Wow. @mhenslee is constantly ranting about his love for Genghis Grill too. Never been there; not here in Colorado."
"happiness","@absolutspacegrl I could feel the excitement in that tweet! ;) I'll be watching the launch on NASA tv! How I love my directv!  seriously."
"happiness","@abstractg @grendel @tigertigercb woohoo! I got the Sunbeam Caf  Series grinder at Eu Foods for only $198! Epic win"
"happiness","@ACALLPRO -- yeahhh u wasnt thereeeeeeeeeee"
"happiness","@AceArtemis7 well nothing. I can give you a pen."
"happiness","@AceConcierge Glad you got there safe &amp; saw your daughter.  Enjoy your time there!"
"happiness","@AClockworkToad awww! thats sweet TTT!  Im sure she will love it! your a good son!"
"happiness","@AClockworkToad I will take lots of pics! it is really pretty there, lots of palm trees."
"happiness","@AClockworkToad yw, it gets really hot there in the middle of the summer like 110+ but right now its perfect! and less then an hour away."
"happiness","@acousticalt I'll be listening!"
"happiness","@actionchick  YAY! I love new ppl! WOOOOO!!"
"happiness","@acummings I am ecstatic client can do a deed in lieu of ...so Monday I will take my sign &amp; lockbox off happy another satisfied client"
"happiness","@Adam__Carter Good film"
"happiness","@AdamCrooklyn good morning broham"
"happiness","@AdamTheStudent ISP all sorted i gather?! cheers for the bday wish too"
